date,typhoon
2022-04-06,yes
2022-04-07,yes
2022-04-08,yes
2022-04-09,yes
2022-04-10,yes
2022-04-11,yes
2022-04-12,yes
2022-04-13,yes
2022-04-14,yes
2022-04-15,yes
2022-06-28,yes
2022-06-29,yes
2022-06-30,yes
2022-07-01,yes
2022-07-02,yes
2022-07-03,yes
2022-07-04,yes
2022-07-05,yes
2022-07-29,yes
2022-07-30,yes
2022-07-31,yes
2022-08-01,yes
2022-08-20,yes
2022-08-21,yes
2022-08-22,yes
2022-08-23,yes
2022-08-24,yes
2022-08-25,yes
2022-08-26,yes
2022-08-27,yes
2022-08-28,yes
2022-08-29,yes
2022-08-30,yes
2022-08-31,yes
2022-09-01,yes
2022-09-03,yes
2022-09-04,yes
2022-09-05,yes
2022-09-06,yes
2022-09-07,yes
2022-09-08,yes
2022-09-09,yes
2022-09-10,yes
2022-09-11,yes
2022-09-12,yes
2022-09-13,yes
2022-09-14,yes
2022-09-15,yes
2022-09-16,yes
2022-09-17,yes
2022-09-18,yes
2022-09-19,yes
2022-09-21,yes
2022-09-22,yes
2022-09-23,yes
2022-09-24,yes
2022-09-25,yes
2022-09-26,yes
2022-09-27,yes
2022-09-28,yes
2022-09-29,yes
2022-09-30,yes
2022-10-01,yes
2022-10-11,yes
2022-10-12,yes
2022-10-14,yes
2022-10-15,yes
2022-10-16,yes
2022-10-17,yes
2022-10-18,yes
2022-10-19,yes
2022-10-20,yes
2022-10-21,yes
2022-10-22,yes
2022-10-23,yes
2022-10-26,yes
2022-10-27,yes
2022-10-28,yes
2022-10-29,yes
2022-10-30,yes
2022-10-31,yes
2022-11-01,yes
2022-11-02,yes
2022-11-03,yes
2022-12-10,yes
2022-12-11,yes
2022-12-12,yes
